pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
BNB/USDT:USDT,2353.66965,2353.66965,59.13,2021-01-05 04:00:00+00:00,2021-01-05 04:15:00+00:00,39.805,39.25,0.0005,0.0005,15,-0.014928536236455556,-35.15441108,trailing_stop_loss,0.399,-0.99,39.25,-0.02219729700133699,39.25,40.202,False,,1.0,False,1609819200000,1609820100000,"[{'amount': 59.13, 'safe_price': 39.805, 'ft_order_side': 'buy', 'order_filled_timestamp': 1609819200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2354.846484825}, {'amount': 59.13, 'safe_price': 39.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1609820100000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2322.01292625}]",0.0,1
SOL/USDT:USDT,1352.763351,2954.37114,437.83,2021-01-09 08:00:00+00:00,2021-01-09 15:10:00+00:00,3.0897,3.1094,0.0005,0.0005,430,0.0373062243674954,110.27154083,trailing_stop_loss,0.0309,-0.99,3.1094,-0.01949620614987646,3.08,3.35,False,,1.0,False,1610179200000,1610205000000,"[{'amount': 956.2, 'safe_price': 3.0897, 'ft_order_side': 'buy', 'order_filled_timestamp': 1610179200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2955.84832557}, {'amount': 518.37, 'safe_price': 3.2995, 'ft_order_side': 'sell', 'order_filled_timestamp': 1610186400000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 1711.2169959075}, {'amount': 437.83, 'safe_price': 3.1094, 'ft_order_side': 'sell', 'order_filled_timestamp': 1610205000000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1362.069296301}]",-4.0946753913618,5
BNB/USDT:USDT,4926.974,9971.384,9.23,2021-04-19 08:00:00+00:00,2021-04-19 08:00:00+00:00,533.8,532.0,0.0005,0.0005,0,-0.003558991767162752,-35.5058176,trailing_stop_loss,5.339,-0.99,534.334,-0.004896426755661154,532.0,536.963,False,,1.0,False,1618819200000,1618819200000,"[{'amount': 18.68, 'safe_price': 533.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1618819200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9976.369691999998}, {'amount': 9.45, 'safe_price': 533.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1618819200000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 5046.932204999998}, {'amount': 9.23, 'safe_price': 532.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1618819200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 4912.8151800000005}]",-8.928740594568692,0
SOL/USDT:USDT,1553.71383,3479.480006,48.15,2021-04-23 08:00:00+00:00,2021-04-23 08:00:00+00:00,32.2682,32.2682,0.0005,0.0005,0,-0.0014498565124465574,-5.04726912,TP2,0.3227,-0.99,0.3227,-0.99,32.1952,33.2372,False,,1.0,False,1619164800000,1619164800000,"[{'amount': 107.83, 'safe_price': 32.2682, 'ft_order_side': 'buy', 'order_filled_timestamp': 1619164800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3481.2197460029997}, {'amount': 59.68, 'safe_price': 32.2682, 'ft_order_side': 'sell', 'order_filled_timestamp': 1619164800000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 1926.729059088}, {'amount': 48.15, 'safe_price': 32.2682, 'ft_order_side': 'sell', 'order_filled_timestamp': 1619164800000, 'ft_is_entry': False, 'ft_order_tag': 'TP2', 'cost': 1554.4906869149997}]",-1.5677891167080997,4
SOL/USDT:USDT,5557.286171,5557.286171,126.53,2021-04-27 16:00:00+00:00,2021-04-27 21:20:00+00:00,43.9207,44.333,0.0005,0.0005,320,0.00782645707650034,43.51560861,trailing_stop_loss,0.4393,-0.99,44.333,-4.127707842194184e-05,42.6,44.3348,False,,1.0,False,1619539200000,1619558400000,"[{'amount': 126.53, 'safe_price': 43.9207, 'ft_order_side': 'buy', 'order_filled_timestamp': 1619539200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 5560.064814085499}, {'amount': 126.53, 'safe_price': 44.333, 'ft_order_side': 'sell', 'order_filled_timestamp': 1619558400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 5612.2592172449995}]",-3.0693400566111224,1
ETH/USDT:USDT,1115.0588,1115.0588,0.538,2021-06-20 12:00:00+00:00,2021-06-20 20:00:00+00:00,2072.6,2222.19,0.0005,0.0005,480,-0.07349662784673365,-81.91208512,G6,4124.47,-0.99,4124.47,-0.99,2038.94,2245.12,False,,1.0,True,1624190400000,1624219200000,"[{'amount': 0.538, 'safe_price': 2072.6, 'ft_order_side': 'sell', 'order_filled_timestamp': 1624190400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 1115.6163294}, {'amount': 0.538, 'safe_price': 2222.19, 'ft_order_side': 'buy', 'order_filled_timestamp': 1624219200000, 'ft_is_entry': False, 'ft_order_tag': 'G6', 'cost': 1196.13598911}]",-0.2773666063823207,6
SOL/USDT:USDT,900.5465,900.5465,34.3,2021-07-17 00:00:00+00:00,2021-07-17 19:00:00+00:00,26.255,26.713,0.0005,0.0005,1140,-0.018159716766082974,-16.34549254,G6,52.247,-0.99,52.247,-0.99,25.937,27.172,False,,1.0,True,1626480000000,1626548400000,"[{'amount': 34.3, 'safe_price': 26.255, 'ft_order_side': 'sell', 'order_filled_timestamp': 1626480000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 900.9967732499998}, {'amount': 34.3, 'safe_price': 26.713, 'ft_order_side': 'buy', 'order_filled_timestamp': 1626548400000, 'ft_is_entry': False, 'ft_order_tag': 'G6', 'cost': 916.71402795}]",0.2723086627324,5
BTC/USDT:USDT,1603.6988,1603.6988,0.038,2021-07-31 00:00:00+00:00,2021-07-31 14:05:00+00:00,42202.6,41152.74,0.0005,0.0005,845,-0.026049634374177278,-41.79665527,trailing_stop_loss,422.03,-0.99,41152.74,-0.012176109709257199,41101.0,42494.0,False,,1.0,False,1627689600000,1627740300000,"[{'amount': 0.038, 'safe_price': 42202.6, 'ft_order_side': 'buy', 'order_filled_timestamp': 1627689600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 1604.5006493999997}, {'amount': 0.038, 'safe_price': 41152.74, 'ft_order_side': 'sell', 'order_filled_timestamp': 1627740300000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1564.5860220599998}]",-0.31822381350384,5
BTC/USDT:USDT,9821.56504,9821.56504,0.238,2021-08-01 20:00:00+00:00,2021-08-02 08:35:00+00:00,41267.08,39521.45,0.0005,0.0005,755,-0.04345165929492938,-426.97667951,trailing_stop_loss,412.68,-0.99,39521.45,-0.016059617136351845,39229.12,41512.87,False,,1.0,False,1627848000000,1627893300000,"[{'amount': 0.238, 'safe_price': 41267.08, 'ft_order_side': 'buy', 'order_filled_timestamp': 1627848000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9826.475822519998}, {'amount': 0.238, 'safe_price': 39521.45, 'ft_order_side': 'sell', 'order_filled_timestamp': 1627893300000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 9410.808152549998}]",-1.9029044360852119,0
SOL/USDT:USDT,735.18718,1647.1585,11.27,2021-08-17 20:00:00+00:00,2021-08-18 12:00:00+00:00,65.234,74.948,0.0005,0.0005,960,0.11493331726410519,189.40804716,TP2,0.653,-0.99,67.492,-0.12005844525810305,58.672,78.275,False,,1.0,False,1629230400000,1629288000000,"[{'amount': 25.25, 'safe_price': 65.234, 'ft_order_side': 'buy', 'order_filled_timestamp': 1629230400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 1647.9820792499997}, {'amount': 13.98, 'safe_price': 71.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1629280800000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 994.4749889999999}, {'amount': 11.27, 'safe_price': 74.948, 'ft_order_side': 'sell', 'order_filled_timestamp': 1629288000000, 'ft_is_entry': False, 'ft_order_tag': 'TP2', 'cost': 845.0862919799998}]",-0.33251261422625,2
ETH/USDT:USDT,7127.95986,7127.95986,1.818,2021-09-04 08:00:00+00:00,2021-09-04 11:00:00+00:00,3920.77,3904.31,0.0005,0.0005,180,-0.005907007198676558,-42.12596266,trailing_stop_loss,39.21,-0.99,3904.31,-0.008778099737938971,3902.32,3960.0,False,,1.0,False,1630742400000,1630753200000,"[{'amount': 1.818, 'safe_price': 3920.77, 'ft_order_side': 'buy', 'order_filled_timestamp': 1630742400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 7131.52383993}, {'amount': 1.818, 'safe_price': 3904.31, 'ft_order_side': 'sell', 'order_filled_timestamp': 1630753200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 7101.584597789999}]",-5.088684941602851,5
BTC/USDT:USDT,2853.58724,2853.58724,0.058,2021-10-05 00:00:00+00:00,2021-10-06 08:05:00+00:00,49199.78,51117.9,0.0005,0.0005,1925,0.03766166038548847,107.52456893,trailing_stop_loss,492.0,-0.99,51117.9,-0.007245297984133425,49009.21,51888.0,False,,1.0,False,1633392000000,1633507500000,"[{'amount': 0.058, 'safe_price': 49199.78, 'ft_order_side': 'buy', 'order_filled_timestamp': 1633392000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2855.01403362}, {'amount': 0.058, 'safe_price': 51117.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1633507500000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2966.3206191}]",-0.8171783459107944,2
ETH/USDT:USDT,7384.2132,7384.2132,1.82,2021-10-22 00:00:00+00:00,2021-10-22 01:05:00+00:00,4057.26,4138.48,0.0005,0.0005,65,0.018646283727666964,137.7569785,trailing_stop_loss,40.58,-0.99,4138.48,-0.00036949414924980495,4055.97,4140.0,False,,1.0,False,1634860800000,1634864700000,"[{'amount': 1.82, 'safe_price': 4057.26, 'ft_order_side': 'buy', 'order_filled_timestamp': 1634860800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 7387.905306600001}, {'amount': 1.82, 'safe_price': 4138.48, 'ft_order_side': 'sell', 'order_filled_timestamp': 1634864700000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 7535.799616799999}]",-2.605298101224,4
